,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,class
0,0.352,0.472,0.008,0.137,0.222,0.191,0.338,0.399,1
1,0.444,0.566,0.006,0.012,0.168,0.13,0.397,0.504,2
2,0.466,0.572,0.006,0.137,0.158,0.21,0.448,0.515,2
3,0.462,0.556,0.007,0.226,0.208,0.21,0.44,0.523,1
4,0.376,0.477,0.008,0.21,0.201,0.17,0.347,0.429,1
5,0.377,0.486,0.008,0.157,0.226,0.17,0.405,0.429,1
6,0.485,0.544,0.006,0.48,0.43,0.297,0.457,0.553,1
7,0.467,0.503,0.005,0.48,0.462,0.38,0.465,0.476,2
8,0.384,0.44,0.009,0.367,0.022,0.042,0.405,0.39,1
9,0.419,0.476,0.008,0.448,0.125,0.21,0.414,0.438,1
10,0.36,0.45,0.009,0.226,0.244,0.231,0.381,0.408,1
11,0.304,0.364,0.01,0.427,0.427,0.297,0.312,0.352,1
12,0.328,0.375,0.009,0.52,0.412,0.34,0.312,0.39,1
13,0.346,0.401,0.009,0.492,0.337,0.297,0.355,0.399,1
14,0.352,0.427,0.01,0.468,0.1,0.17,0.405,0.371,1
15,0.349,0.44,0.01,0.294,0.129,0.21,0.355,0.399,1
16,0.371,0.443,0.01,0.258,0.133,0.21,0.473,0.381,1
17,0.458,0.54,0.007,0.177,0.258,0.191,0.423,0.534,2
18,0.422,0.531,0.008,0.117,0.344,0.297,0.364,0.494,2
19,0.382,0.463,0.011,0.214,0.315,0.231,0.347,0.438,1
20,0.321,0.399,0.01,0.391,0.161,0.17,0.381,0.333,1
21,0.464,0.539,0.007,0.452,0.082,0.13,0.541,0.467,1
22,0.498,0.579,0.006,0.415,0.122,0.13,0.507,0.523,1
23,0.499,0.597,0.007,0.294,0.151,0.17,0.465,0.553,2
24,0.465,0.546,0.008,0.242,0.505,0.507,0.414,0.534,2
25,0.363,0.395,0.01,0.496,0.305,0.38,0.355,0.418,1
26,0.329,0.395,0.01,0.411,0.158,0.149,0.328,0.371,1
27,0.362,0.453,0.009,0.282,0.165,0.38,0.364,0.418,1
28,0.334,0.385,0.01,0.423,0.577,0.467,0.338,0.39,1
29,0.296,0.324,0.011,0.496,0.219,0.297,0.388,0.296,1
30,0.446,0.464,0.008,0.516,0.079,0.108,0.5,0.457,1
31,0.431,0.441,0.007,0.528,0.398,0.488,0.448,0.467,1
32,0.25,0.258,0.009,0.532,0.409,0.38,0.321,0.247,1
33,0.247,0.305,0.011,0.577,0.039,0.108,0.295,0.276,1
34,0.315,0.381,0.011,0.375,0.09,0.13,0.288,0.371,1
35,0.362,0.439,0.009,0.319,0.305,0.34,0.347,0.438,2
36,0.362,0.44,0.007,0.302,0.394,0.359,0.355,0.371,2
37,0.346,0.372,0.01,0.512,0.151,0.21,0.49,0.322,1
38,0.483,0.437,0.01,0.508,0.19,0.278,0.567,0.448,1
39,0.547,0.491,0.008,0.536,0.136,0.149,0.601,0.504,1
40,0.527,0.529,0.01,0.504,0.179,0.297,0.567,0.476,2
41,0.565,0.554,0.009,0.496,0.28,0.38,0.567,0.561,2
42,0.528,0.541,0.01,0.476,0.14,0.191,0.652,0.494,1
43,0.616,0.604,0.007,0.46,0.054,0.149,0.652,0.571,1
44,0.556,0.557,0.009,0.419,0.29,0.38,0.601,0.534,1
45,0.47,0.438,0.011,0.444,0.24,0.34,0.534,0.438,1
46,0.596,0.529,0.007,0.496,0.082,0.13,0.71,0.561,1
47,0.514,0.564,0.007,0.286,0.183,0.13,0.537,0.523,2
48,0.418,0.529,0.009,0.121,0.247,0.191,0.364,0.494,2
49,0.321,0.379,0.012,0.339,0.434,0.34,0.338,0.352,2
50,0.283,0.315,0.013,0.48,0.211,0.21,0.271,0.322,1
51,0.28,0.304,0.013,0.516,0.075,0.13,0.312,0.314,1
52,0.348,0.363,0.011,0.524,0.1,0.17,0.414,0.352,1
53,0.398,0.464,0.009,0.383,0.165,0.191,0.397,0.438,2
54,0.404,0.503,0.008,0.161,0.201,0.231,0.364,0.457,2
55,0.35,0.454,0.008,0.117,0.197,0.278,0.321,0.381,1
56,0.223,0.308,0.01,0.415,0.527,0.554,0.211,0.276,1
57,0.187,0.253,0.013,0.512,0.186,0.21,0.236,0.191,1
58,0.303,0.363,0.011,0.536,0.254,0.257,0.448,0.296,1
59,0.537,0.539,0.008,0.544,0.24,0.231,0.617,0.523,1
60,0.61,0.608,0.008,0.496,0.244,0.318,0.669,0.561,1
61,0.672,0.72,0.007,0.44,0.473,0.38,0.626,0.705,1
62,0.675,0.773,0.008,0.262,0.233,0.297,0.617,0.724,2
63,0.634,0.745,0.01,0.31,0.194,0.17,0.585,0.705,2
64,0.655,0.722,0.01,0.395,0.072,0.108,0.702,0.647,1
65,0.693,0.704,0.009,0.419,0.043,0.108,0.71,0.628,1
