,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0,0.5,0.596,0.073,0.465,0.005,0.57,0.478,1
1,0.5,0.617,0.072,0.459,0.005,0.557,0.476,1
2,0.5,0.638,0.054,0.452,0.004,0.542,0.495,2
3,0.5,0.66,0.049,0.456,0.003,0.531,0.518,2
4,0.5,0.681,0.051,0.461,0.003,0.532,0.504,2
5,0.5,0.702,0.056,0.469,0.004,0.54,0.527,2
6,0.5,0.723,0.044,0.486,0.003,0.554,0.554,2
7,0.5,0.745,0.062,0.55,0.004,0.594,0.494,2
8,0.5,0.766,0.076,0.601,0.005,0.629,0.444,1
9,0.5,0.787,0.072,0.587,0.005,0.636,0.434,1
10,0.5,0.809,0.06,0.55,0.004,0.604,0.409,2
11,0.5,0.83,0.053,0.52,0.004,0.567,0.42,2
12,0.5,0.851,0.049,0.497,0.003,0.547,0.411,2
13,0.5,0.872,0.044,0.477,0.003,0.525,0.408,2
14,0.5,0.894,0.042,0.435,0.003,0.488,0.4,2
15,0.5,0.915,0.04,0.407,0.003,0.459,0.402,2
16,0.5,0.936,0.049,0.448,0.003,0.438,0.574,2
17,0.5,0.957,0.044,0.465,0.003,0.417,0.547,2
18,0.5,0.979,0.075,0.48,0.005,0.518,0.534,1
19,0.5,1.0,0.08,0.476,0.005,0.509,0.568,1
20,0.667,0.0,0.081,0.469,0.005,0.489,0.595,1
21,0.667,0.021,0.08,0.455,0.005,0.453,0.602,1
22,0.667,0.043,0.082,0.422,0.005,0.503,0.53,1
23,0.667,0.064,0.074,0.369,0.005,0.476,0.524,1
24,0.667,0.085,0.07,0.315,0.005,0.429,0.551,1
25,0.667,0.106,0.066,0.265,0.004,0.383,0.618,1
26,0.667,0.128,0.065,0.219,0.004,0.341,0.652,2
27,0.667,0.149,0.055,0.19,0.004,0.32,0.625,2
28,0.667,0.17,0.053,0.177,0.003,0.298,0.693,2
29,0.667,0.191,0.055,0.177,0.004,0.289,0.689,2
30,0.667,0.213,0.063,0.204,0.004,0.293,0.671,2
31,0.667,0.234,0.067,0.251,0.004,0.325,0.595,1
32,0.667,0.255,0.081,0.344,0.005,0.407,0.505,1
33,0.667,0.277,0.086,0.434,0.006,0.484,0.499,1
34,0.667,0.298,0.053,0.438,0.004,0.516,0.444,2
35,0.667,0.319,0.069,0.494,0.005,0.578,0.386,1
36,0.667,0.34,0.071,0.506,0.005,0.596,0.352,1
37,0.667,0.362,0.072,0.503,0.005,0.589,0.403,1
38,0.667,0.383,0.074,0.54,0.005,0.597,0.415,1
39,0.667,0.404,0.074,0.549,0.005,0.58,0.429,1
40,0.667,0.426,0.075,0.536,0.005,0.582,0.396,1
41,0.667,0.447,0.106,0.512,0.007,0.575,0.412,1
42,0.667,0.468,0.111,0.493,0.008,0.575,0.397,1
43,0.667,0.489,0.102,0.483,0.007,0.577,0.375,1
44,0.667,0.511,0.101,0.475,0.007,0.563,0.42,1
45,0.667,0.532,0.104,0.467,0.007,0.562,0.407,1
46,0.667,0.553,0.116,0.47,0.008,0.595,0.413,1
47,0.667,0.574,0.112,0.464,0.008,0.596,0.388,1
48,0.667,0.596,0.076,0.459,0.005,0.591,0.351,1
49,0.667,0.617,0.075,0.452,0.005,0.587,0.375,1
50,0.667,0.638,0.073,0.443,0.005,0.575,0.367,1
51,0.667,0.66,0.074,0.449,0.005,0.57,0.332,1
52,0.667,0.681,0.074,0.452,0.005,0.584,0.356,1
53,0.667,0.702,0.074,0.459,0.005,0.605,0.337,1
54,0.667,0.723,0.077,0.479,0.005,0.619,0.32,1
55,0.667,0.745,0.087,0.533,0.006,0.636,0.32,1
56,0.667,0.766,0.088,0.561,0.006,0.652,0.321,1
57,0.667,0.787,0.089,0.564,0.006,0.655,0.326,1
58,0.667,0.809,0.088,0.528,0.006,0.611,0.368,1
59,0.667,0.83,0.078,0.501,0.005,0.583,0.352,1
60,0.667,0.851,0.064,0.478,0.004,0.552,0.349,2
61,0.667,0.872,0.048,0.456,0.003,0.515,0.364,2
62,0.667,0.894,0.043,0.416,0.003,0.483,0.333,2
63,0.667,0.915,0.036,0.379,0.002,0.407,0.394,2
64,0.667,0.936,0.07,0.432,0.005,0.353,0.661,2
65,0.667,0.957,0.044,0.454,0.003,0.334,0.592,2
66,0.667,0.979,0.074,0.466,0.005,0.453,0.529,2
67,0.667,1.0,0.082,0.467,0.005,0.494,0.54,1
68,0.833,0.0,0.083,0.449,0.005,0.463,0.593,1
69,0.833,0.021,0.082,0.435,0.005,0.422,0.585,1
70,0.833,0.043,0.083,0.397,0.006,0.471,0.53,1
71,0.833,0.064,0.079,0.351,0.005,0.445,0.518,1
72,0.833,0.085,0.066,0.298,0.004,0.402,0.549,2
73,0.833,0.106,0.064,0.247,0.004,0.36,0.62,2
74,0.833,0.128,0.054,0.208,0.003,0.318,0.642,2
75,0.833,0.149,0.044,0.178,0.003,0.285,0.607,2
76,0.833,0.17,0.042,0.162,0.003,0.263,0.657,2
77,0.833,0.191,0.044,0.164,0.003,0.253,0.698,2
78,0.833,0.213,0.042,0.186,0.003,0.268,0.675,2
79,0.833,0.234,0.046,0.235,0.003,0.293,0.647,2
80,0.833,0.255,0.066,0.33,0.004,0.378,0.483,2
81,0.833,0.277,0.069,0.423,0.005,0.444,0.514,2
82,0.833,0.298,0.056,0.43,0.004,0.492,0.424,2
83,0.833,0.319,0.072,0.492,0.005,0.549,0.366,2
84,0.833,0.34,0.072,0.488,0.005,0.584,0.323,2
85,0.833,0.362,0.073,0.498,0.005,0.58,0.357,2
86,0.833,0.383,0.077,0.544,0.005,0.582,0.396,1
87,0.833,0.404,0.085,0.562,0.006,0.569,0.408,1
88,0.833,0.426,0.107,0.556,0.007,0.518,0.517,1
