,class,day,nswdemand,nswprice,period,transfer,vicdemand,vicprice
0,1,0.5,0.465,0.073,0.596,0.478,0.57,0.005
1,1,0.5,0.459,0.072,0.617,0.476,0.557,0.005
2,2,0.5,0.452,0.054,0.638,0.495,0.542,0.004
3,2,0.5,0.456,0.049,0.66,0.518,0.531,0.003
4,2,0.5,0.461,0.051,0.681,0.504,0.532,0.003
5,2,0.5,0.469,0.056,0.702,0.527,0.54,0.004
6,2,0.5,0.486,0.044,0.723,0.554,0.554,0.003
7,2,0.5,0.55,0.062,0.745,0.494,0.594,0.004
8,1,0.5,0.601,0.076,0.766,0.444,0.629,0.005
9,1,0.5,0.587,0.072,0.787,0.434,0.636,0.005
10,2,0.5,0.55,0.06,0.809,0.409,0.604,0.004
11,2,0.5,0.52,0.053,0.83,0.42,0.567,0.004
12,2,0.5,0.497,0.049,0.851,0.411,0.547,0.003
13,2,0.5,0.477,0.044,0.872,0.408,0.525,0.003
14,2,0.5,0.435,0.042,0.894,0.4,0.488,0.003
15,2,0.5,0.407,0.04,0.915,0.402,0.459,0.003
16,2,0.5,0.448,0.049,0.936,0.574,0.438,0.003
17,2,0.5,0.465,0.044,0.957,0.547,0.417,0.003
18,1,0.5,0.48,0.075,0.979,0.534,0.518,0.005
19,1,0.5,0.476,0.08,1.0,0.568,0.509,0.005
20,1,0.667,0.469,0.081,0.0,0.595,0.489,0.005
21,1,0.667,0.455,0.08,0.021,0.602,0.453,0.005
22,1,0.667,0.422,0.082,0.043,0.53,0.503,0.005
23,1,0.667,0.369,0.074,0.064,0.524,0.476,0.005
24,1,0.667,0.315,0.07,0.085,0.551,0.429,0.005
25,1,0.667,0.265,0.066,0.106,0.618,0.383,0.004
26,2,0.667,0.219,0.065,0.128,0.652,0.341,0.004
27,2,0.667,0.19,0.055,0.149,0.625,0.32,0.004
28,2,0.667,0.177,0.053,0.17,0.693,0.298,0.003
29,2,0.667,0.177,0.055,0.191,0.689,0.289,0.004
30,2,0.667,0.204,0.063,0.213,0.671,0.293,0.004
31,1,0.667,0.251,0.067,0.234,0.595,0.325,0.004
32,1,0.667,0.344,0.081,0.255,0.505,0.407,0.005
33,1,0.667,0.434,0.086,0.277,0.499,0.484,0.006
34,2,0.667,0.438,0.053,0.298,0.444,0.516,0.004
35,1,0.667,0.494,0.069,0.319,0.386,0.578,0.005
36,1,0.667,0.506,0.071,0.34,0.352,0.596,0.005
37,1,0.667,0.503,0.072,0.362,0.403,0.589,0.005
38,1,0.667,0.54,0.074,0.383,0.415,0.597,0.005
39,1,0.667,0.549,0.074,0.404,0.429,0.58,0.005
40,1,0.667,0.536,0.075,0.426,0.396,0.582,0.005
41,1,0.667,0.512,0.106,0.447,0.412,0.575,0.007
42,1,0.667,0.493,0.111,0.468,0.397,0.575,0.008
43,1,0.667,0.483,0.102,0.489,0.375,0.577,0.007
44,1,0.667,0.475,0.101,0.511,0.42,0.563,0.007
45,1,0.667,0.467,0.104,0.532,0.407,0.562,0.007
46,1,0.667,0.47,0.116,0.553,0.413,0.595,0.008
47,1,0.667,0.464,0.112,0.574,0.388,0.596,0.008
48,1,0.667,0.459,0.076,0.596,0.351,0.591,0.005
49,1,0.667,0.452,0.075,0.617,0.375,0.587,0.005
50,1,0.667,0.443,0.073,0.638,0.367,0.575,0.005
51,1,0.667,0.449,0.074,0.66,0.332,0.57,0.005
52,1,0.667,0.452,0.074,0.681,0.356,0.584,0.005
53,1,0.667,0.459,0.074,0.702,0.337,0.605,0.005
54,1,0.667,0.479,0.077,0.723,0.32,0.619,0.005
55,1,0.667,0.533,0.087,0.745,0.32,0.636,0.006
56,1,0.667,0.561,0.088,0.766,0.321,0.652,0.006
57,1,0.667,0.564,0.089,0.787,0.326,0.655,0.006
58,1,0.667,0.528,0.088,0.809,0.368,0.611,0.006
59,1,0.667,0.501,0.078,0.83,0.352,0.583,0.005
60,2,0.667,0.478,0.064,0.851,0.349,0.552,0.004
61,2,0.667,0.456,0.048,0.872,0.364,0.515,0.003
62,2,0.667,0.416,0.043,0.894,0.333,0.483,0.003
63,2,0.667,0.379,0.036,0.915,0.394,0.407,0.002
64,2,0.667,0.432,0.07,0.936,0.661,0.353,0.005
65,2,0.667,0.454,0.044,0.957,0.592,0.334,0.003
66,2,0.667,0.466,0.074,0.979,0.529,0.453,0.005
67,1,0.667,0.467,0.082,1.0,0.54,0.494,0.005
68,1,0.833,0.449,0.083,0.0,0.593,0.463,0.005
69,1,0.833,0.435,0.082,0.021,0.585,0.422,0.005
70,1,0.833,0.397,0.083,0.043,0.53,0.471,0.006
71,1,0.833,0.351,0.079,0.064,0.518,0.445,0.005
72,2,0.833,0.298,0.066,0.085,0.549,0.402,0.004
73,2,0.833,0.247,0.064,0.106,0.62,0.36,0.004
74,2,0.833,0.208,0.054,0.128,0.642,0.318,0.003
75,2,0.833,0.178,0.044,0.149,0.607,0.285,0.003
76,2,0.833,0.162,0.042,0.17,0.657,0.263,0.003
77,2,0.833,0.164,0.044,0.191,0.698,0.253,0.003
78,2,0.833,0.186,0.042,0.213,0.675,0.268,0.003
79,2,0.833,0.235,0.046,0.234,0.647,0.293,0.003
80,2,0.833,0.33,0.066,0.255,0.483,0.378,0.004
81,2,0.833,0.423,0.069,0.277,0.514,0.444,0.005
82,2,0.833,0.43,0.056,0.298,0.424,0.492,0.004
83,2,0.833,0.492,0.072,0.319,0.366,0.549,0.005
84,2,0.833,0.488,0.072,0.34,0.323,0.584,0.005
85,2,0.833,0.498,0.073,0.362,0.357,0.58,0.005
86,1,0.833,0.544,0.077,0.383,0.396,0.582,0.005
87,1,0.833,0.562,0.085,0.404,0.408,0.569,0.006
88,1,0.833,0.556,0.107,0.426,0.517,0.518,0.007
89,1,0.833,0.545,0.104,0.447,0.493,0.507,0.007
90,1,0.833,0.533,0.12,0.468,0.466,0.559,0.008
91,1,0.833,0.526,0.136,0.489,0.562,0.562,0.009
92,1,0.833,0.514,0.125,0.511,0.561,0.545,0.008
93,1,0.833,0.508,0.124,0.532,0.564,0.551,0.008
94,1,0.833,0.501,0.121,0.553,0.486,0.551,0.008
95,1,0.833,0.496,0.123,0.574,0.495,0.544,0.008
96,1,0.833,0.487,0.088,0.596,0.487,0.53,0.006
97,1,0.833,0.471,0.088,0.617,0.412,0.523,0.006
98,1,0.833,0.471,0.087,0.638,0.454,0.504,0.006
99,1,0.833,0.488,0.089,0.66,0.437,0.487,0.006
100,1,0.833,0.498,0.09,0.681,0.415,0.469,0.006
101,1,0.833,0.505,0.09,0.702,0.434,0.479,0.006
102,1,0.833,0.512,0.084,0.723,0.393,0.481,0.006
103,1,0.833,0.555,0.089,0.745,0.277,0.52,0.006
104,1,0.833,0.569,0.084,0.766,0.251,0.556,0.006
105,1,0.833,0.549,0.081,0.787,0.245,0.558,0.006
106,2,0.833,0.516,0.075,0.809,0.231,0.532,0.005
107,2,0.833,0.485,0.067,0.83,0.217,0.497,0.005
108,2,0.833,0.464,0.07,0.851,0.213,0.482,0.005
109,2,0.833,0.439,0.052,0.872,0.211,0.462,0.004
110,2,0.833,0.404,0.043,0.894,0.256,0.429,0.003
111,2,0.833,0.372,0.042,0.915,0.263,0.395,0.003
112,1,0.833,0.425,0.079,0.936,0.411,0.389,0.005
113,2,0.833,0.454,0.074,0.957,0.403,0.381,0.005
114,1,0.833,0.474,0.084,0.979,0.297,0.493,0.006
115,1,0.833,0.472,0.082,1.0,0.34,0.479,0.006
116,2,1.0,0.439,0.064,0.0,0.369,0.425,0.004
117,2,1.0,0.429,0.064,0.021,0.358,0.398,0.004
118,2,1.0,0.396,0.077,0.043,0.295,0.439,0.005
119,2,1.0,0.327,0.058,0.064,0.361,0.408,0.004
120,2,1.0,0.276,0.05,0.085,0.33,0.358,0.003
121,2,1.0,0.224,0.042,0.106,0.367,0.306,0.003
122,2,1.0,0.174,0.037,0.128,0.356,0.262,0.002
123,2,1.0,0.148,0.034,0.149,0.364,0.221,0.002
124,2,1.0,0.127,0.042,0.17,0.424,0.205,0.003
125,2,1.0,0.118,0.039,0.191,0.44,0.186,0.003
126,2,1.0,0.124,0.043,0.213,0.448,0.183,0.003
127,2,1.0,0.139,0.043,0.234,0.474,0.191,0.003
128,2,1.0,0.165,0.043,0.255,0.394,0.214,0.003
129,2,1.0,0.202,0.04,0.277,0.366,0.234,0.003
130,2,1.0,0.248,0.049,0.298,0.482,0.229,0.003
131,1,1.0,0.324,0.081,0.319,0.491,0.274,0.006
132,2,1.0,0.392,0.066,0.34,0.469,0.321,0.004
133,1,1.0,0.44,0.089,0.362,0.476,0.348,0.006
134,1,1.0,0.492,0.09,0.383,0.458,0.374,0.006
135,1,1.0,0.509,0.09,0.404,0.454,0.372,0.006
136,1,1.0,0.502,0.09,0.426,0.52,0.362,0.006
137,1,1.0,0.481,0.089,0.447,0.484,0.354,0.006
138,1,1.0,0.47,0.089,0.468,0.506,0.345,0.006
139,1,1.0,0.455,0.091,0.489,0.48,0.34,0.006
140,1,1.0,0.443,0.092,0.511,0.493,0.328,0.006
141,1,1.0,0.428,0.091,0.532,0.544,0.325,0.006
142,1,1.0,0.414,0.1,0.553,0.602,0.328,0.007
143,1,1.0,0.389,0.104,0.574,0.612,0.315,0.007
144,1,1.0,0.378,0.093,0.596,0.567,0.313,0.006
145,1,1.0,0.369,0.09,0.617,0.586,0.312,0.006
146,1,1.0,0.369,0.089,0.638,0.621,0.294,0.006
147,1,1.0,0.369,0.089,0.66,0.623,0.292,0.006
148,1,1.0,0.383,0.089,0.681,0.66,0.288,0.006
149,1,1.0,0.406,0.089,0.702,0.58,0.319,0.006
150,1,1.0,0.421,0.077,0.723,0.499,0.34,0.005
151,1,1.0,0.49,0.087,0.745,0.449,0.383,0.006
152,1,1.0,0.535,0.095,0.766,0.354,0.453,0.006
153,1,1.0,0.537,0.096,0.787,0.329,0.478,0.007
154,1,1.0,0.495,0.089,0.809,0.294,0.46,0.006
155,1,1.0,0.461,0.089,0.83,0.363,0.429,0.006
156,1,1.0,0.43,0.089,0.851,0.422,0.409,0.006
157,1,1.0,0.416,0.089,0.872,0.425,0.394,0.006
158,1,1.0,0.395,0.077,0.894,0.449,0.367,0.005
159,2,1.0,0.376,0.054,0.915,0.414,0.355,0.004
160,1,1.0,0.404,0.086,0.936,0.425,0.346,0.006
161,2,1.0,0.401,0.068,0.957,0.433,0.344,0.005
162,1,1.0,0.402,0.085,0.979,0.354,0.423,0.006
163,2,1.0,0.377,0.07,1.0,0.339,0.423,0.005
164,1,0.0,0.346,0.085,0.0,0.366,0.415,0.006
165,2,0.0,0.309,0.061,0.021,0.368,0.388,0.004
166,1,0.0,0.268,0.087,0.043,0.31,0.441,0.006
167,1,0.0,0.23,0.078,0.064,0.351,0.409,0.005
168,2,0.0,0.193,0.063,0.085,0.402,0.369,0.004
169,2,0.0,0.153,0.048,0.106,0.49,0.323,0.003
170,2,0.0,0.131,0.047,0.128,0.557,0.28,0.003
171,2,0.0,0.107,0.044,0.149,0.548,0.25,0.003
172,2,0.0,0.094,0.029,0.17,0.545,0.22,0.002
173,2,0.0,0.091,0.031,0.191,0.558,0.193,0.002
174,2,0.0,0.094,0.031,0.213,0.574,0.177,0.002
175,2,0.0,0.105,0.031,0.234,0.582,0.17,0.002
176,2,0.0,0.122,0.03,0.255,0.52,0.169,0.002
177,2,0.0,0.153,0.031,0.277,0.579,0.171,0.002
178,2,0.0,0.195,0.041,0.298,0.642,0.149,0.003
179,2,0.0,0.264,0.049,0.319,0.645,0.181,0.003
180,2,0.0,0.32,0.05,0.34,0.599,0.22,0.003
181,2,0.0,0.371,0.063,0.362,0.647,0.255,0.004
182,1,0.0,0.41,0.087,0.383,0.619,0.275,0.006
183,1,0.0,0.429,0.079,0.404,0.678,0.292,0.005
184,2,0.0,0.422,0.072,0.426,0.625,0.294,0.005
185,2,0.0,0.4,0.065,0.447,0.605,0.297,0.004
186,2,0.0,0.378,0.065,0.468,0.602,0.288,0.004
187,1,0.0,0.355,0.089,0.489,0.601,0.29,0.006
188,1,0.0,0.336,0.075,0.511,0.62,0.283,0.005
189,2,0.0,0.307,0.071,0.532,0.573,0.285,0.005
190,2,0.0,0.285,0.061,0.553,0.54,0.289,0.004
191,2,0.0,0.262,0.056,0.574,0.559,0.282,0.004
192,2,0.0,0.245,0.052,0.596,0.573,0.271,0.003
193,2,0.0,0.234,0.051,0.617,0.583,0.261,0.003
194,2,0.0,0.235,0.053,0.638,0.576,0.259,0.004
195,2,0.0,0.233,0.057,0.66,0.584,0.26,0.004
196,2,0.0,0.248,0.05,0.681,0.573,0.263,0.003
197,2,0.0,0.269,0.05,0.702,0.55,0.28,0.003
198,2,0.0,0.289,0.052,0.723,0.546,0.309,0.003
